ra,dec,ks_flux_aper2,ks_fluxerr_aper2,splash_1_flux,splash_1_flux_err,splash_2_flux,splash_2_flux_err,splash_3_flux,splash_3_flux_err,splash_4_flux,splash_4_flux_err,photoz,type,dist,angle
149.965822,2.531597,214.326,0.206,125.964,1.339,86.027,0.624,53.593,6.518,32.064,2.752,null,1,20.980209,139.071517
149.959803,2.545853,200.022,0.202,229.210,0.663,213.566,0.649,133.877,8.212,475.394,11.109,0.250,0,36.338671,347.444316
149.964342,2.524065,39.683,0.201,101.392,0.391,84.348,0.305,56.682,5.627,46.565,2.546,1.013,0,43.783967,168.908324
149.974577,2.535126,179.502,0.202,178.545,0.980,159.020,0.583,93.677,8.478,431.941,10.508,0.227,0,45.342368,93.978393
149.964045,2.549669,554.188,0.215,265.029,4.806,167.963,1.731,122.502,9.193,60.417,4.516,null,0,49.755392,8.501218
149.965258,2.521661,45.945,0.203,85.807,0.603,76.941,0.338,49.733,3.790,38.408,3.926,1.191,0,52.932381,167.211382
149.958566,2.520407,38.610,0.201,68.976,0.488,49.192,0.357,45.426,6.326,30.126,3.677,0.660,0,57.477556,192.407840
149.944833,2.536300,60.410,0.203,99.115,0.492,62.569,0.257,38.939,3.529,22.236,2.692,0.727,0,61.749006,271.002359
149.970093,2.520146,160.973,0.211,80.449,1.097,53.301,0.444,37.375,5.174,20.499,2.646,null,1,64.065960,152.979508
149.945399,2.527761,41.316,0.204,62.590,0.351,42.638,0.290,35.618,5.238,27.500,4.151,0.670,0,66.666837,243.584102
149.980752,2.546271,31.679,0.206,51.988,0.526,39.503,0.329,20.314,4.780,15.114,2.253,1.007,0,76.910388,61.265636
149.952569,2.516315,53.954,0.207,89.065,0.345,61.803,0.219,53.855,2.926,51.523,3.512,null,0,78.564783,205.576959
149.959293,2.558123,37.854,0.212,63.376,0.270,42.345,0.211,25.898,4.753,21.329,2.480,0.675,0,80.234723,353.031039
149.952386,2.515472,256.060,0.210,198.201,1.074,135.489,0.597,94.103,9.136,128.768,6.915,null,0,81.590946,205.074496
149.955030,2.514269,20.237,0.213,50.416,0.394,43.352,0.296,23.601,3.803,21.058,2.811,0.976,0,82.148871,197.768457
149.980267,2.550170,165.897,0.218,86.205,1.106,55.065,0.696,31.183,4.722,22.275,3.808,null,0,83.176431,52.170975
149.974668,2.555484,81.039,0.213,190.350,0.531,128.379,0.490,111.560,7.458,52.987,4.213,0.750,0,83.641470,33.004617
149.943428,2.550683,445.259,0.222,217.292,3.075,139.562,1.048,83.030,8.298,51.792,4.395,null,1,85.177457,308.356983
149.944921,2.518927,2810.540,0.209,1422.388,25.984,922.085,14.476,566.092,24.347,344.131,16.587,null,0,86.895242,224.982898
149.943434,2.519862,332.001,0.214,220.615,2.482,149.050,1.678,101.642,10.582,53.156,5.466,null,1,88.509203,228.974451
149.940991,2.521504,107.014,0.215,57.596,0.753,39.128,0.388,37.271,7.023,15.213,3.110,null,1,91.830046,235.368812
