WISE_DESIGNATION,WISE_RA,WISE_Dec,W1_SIG_VAR_PP,W2_SIG_VAR_PP,W1_N_DETECTION,W2_N_DETECTION,W1_MEDIAN_MAG,W1_MAG_SIGMA,W2_MEDIAN_MAG,W2_MAG_SIGMA,PS1_g_med_KrMag,PS1_r_med_KrMag,PS1_i_med_KrMag,PS1_z_med_KrMag,PS1_y_med_KrMag,PS1_g_lc_std,PS1_r_lc_std,PS1_i_lc_std,PS1_z_lc_std,PS1_y_lc_std,PS1_g_max_KrMag,PS1_g_max_KrMagErr,PS1_g_min_KrMag,PS1_g_min_KrMagErr,PS1_r_max_KrMag,PS1_r_max_KrMagErr,PS1_r_min_KrMag,PS1_r_min_KrMagErr,PS1_i_max_KrMag,PS1_i_max_KrMagErr,PS1_i_min_KrMag,PS1_i_min_KrMagErr,PS1_z_max_KrMag,PS1_z_max_KrMagErr,PS1_z_min_KrMag,PS1_z_min_KrMagErr,PS1_y_max_KrMag,PS1_y_max_KrMagErr,PS1_y_min_KrMag,PS1_y_min_KrMagErr,PS1_g_num_detec,PS1_r_num_detec,PS1_i_num_detec,PS1_z_num_detec,PS1_y_num_detec,PS1_g_star_lc_sigma,PS1_r_star_lc_sigma,PS1_i_star_lc_sigma,PS1_z_star_lc_sigma,PS1_y_star_lc_sigma,PS1_g_sigma_PP,PS1_r_sigma_PP,PS1_i_sigma_PP,PS1_z_sigma_PP,PS1_y_sigma_PP,SDSS_RA,SDSS_Dec,SDSS_redshift,SDSS_redshift_ERR,SDSS_wise_sep2d_arcsec
J031621.68+000122.5,49.0903427,0.022922099999999997,3.3144681214717515,3.0302620557846565,10.0,12.0,14.463657375574973,0.07678651208697942,13.237699831433561,0.07070460753490179,0.0,20.804256818616174,20.52175347553567,20.107152976803807,0.0,0.0,0.14937988888761922,0.15462097235023106,0.18189536337981368,0.0,0.0,0.0,0.0,0.0,20.9536367075038,0.1515568046468469,20.65487692972856,0.1515568046468469,20.63658935601804,0.16554451254639668,20.12368101979265,0.16554451254639668,20.411832563450595,0.1917812492266269,19.93899951833353,0.1917812492266269,0.0,0.0,0.0,0.0,0.0,2.0,8.0,4.0,0.0,0.0,0.2,0.2,0.3,0.0,,1.190576006059753,1.6657612313383734,1.1691470642487671,,49.046546936035156,0.06874100118875504,1.5489,0.0,228.1797834164349
J025957.85+003454.1,44.9910705,0.5817201999999999,3.2863121543376743,3.3457370883348427,11.0,12.0,14.412417837950757,0.09141485567385862,13.266292512563998,0.10205318538225036,18.92912860637748,18.85587141551848,18.92553366822344,18.664110492621433,18.72756978296502,0.06716286761971835,0.07507288365370124,0.1159043002520244,0.09633606305588527,0.1985003654923063,19.06213782665884,0.021741857919851795,18.866358476694984,0.021741857919851795,18.902752554788343,0.02228188401435318,18.694050984816972,0.02228188401435318,19.226166807338913,0.019989737377924824,18.69463496433206,0.019989737377924824,18.774466392386934,0.0963774394376129,18.46758830608321,0.0963774394376129,18.95514484087465,0.02553876076328519,18.172166449126262,0.02553876076328519,10.0,6.0,31.0,9.0,11.0,0.062,0.05,0.05,0.15,0.2,2.8289519231506715,3.4550632608085285,9.253932652701328,1.5141376075920965,3.852576935430373,44.9910774230957,0.5817379951477051,0.8199,0.0,0.06873941428048097
J031142.01-005918.9,47.9250792,-0.9885966,2.967219844957693,3.6898579672318306,11.0,12.0,13.80928511353551,0.07229177701126879,12.930231404528834,0.09163316582258628,19.145334883988667,18.42625318234977,18.037267915988327,17.55461779637946,17.543770524160685,0.1918021076563877,0.07229410494694441,0.08085365003838951,0.08193326876651329,0.20900455635347176,19.366561301580795,0.033867122189361026,18.72111422311333,0.033867122189361026,18.520526204710123,0.030430341724809757,18.310232425065447,0.030430341724809757,18.149609546101466,0.05907341316968734,17.869495641877972,0.05907341316968734,17.733635388895053,0.06542787197736785,17.444719343959132,0.06542787197736785,18.100367028729128,0.033867122189361026,17.45485824672113,0.033867122189361026,12.0,7.0,16.0,12.0,9.0,0.062,0.02,0.02,0.0625,0.1,8.238506209245566,4.228783505714974,3.260813915259661,2.587471963326125,5.821785335483862,47.92510604858398,-0.9885910153388976,0.2811,0.0,0.09870963153410378
J032628.53-002741.3,51.6188755,-0.46148370000000005,3.2208434577554796,2.9133391966966715,10.0,8.0,13.67744349864682,0.1365500741817504,12.782860575022607,0.1659677854447282,19.183187407088944,18.79482194378644,18.57282828628505,18.55997315026397,17.898426280743717,0.1181573972205864,0.04742981003219207,0.13866230147076336,0.08401112791344605,0.09681420465623976,19.45042097534736,0.06521854176297665,19.080001856949607,0.06521854176297665,18.88824027770647,0.03569402623222652,18.738284255303952,0.03569402623222652,18.954164044116887,0.0654352687601689,18.371884831047822,0.0654352687601689,18.66092606699304,0.051859017861673185,18.42864193184826,0.051859017861673185,18.08791056808533,0.06331075722045874,17.720531652134756,0.06331075722045874,6.0,11.0,14.0,8.0,9.0,0.062,0.05,0.05,0.15,0.1,3.3330651528798634,1.6998456798204702,5.535846745273619,1.391179498886556,2.7370262812823114,51.61889266967773,-0.4615119993686676,0.446,0.0,0.1191612493816183
J032343.61-011146.1,50.931749200000006,-1.1961639,3.2707070998403966,3.6017693850076977,11.0,12.0,13.155556793543935,0.33618240340047323,12.432209100785775,0.3762383962797135,17.765133412710046,17.45884428471744,17.25500970276633,16.73099782435774,16.853125462206847,0.20593850655338805,0.279100201251678,0.2023184064803042,0.3461557047230803,0.23644385063385,18.022302595387217,0.02920915898861569,17.445285067753574,0.02920915898861569,17.82808007469991,0.017700430966950176,16.95109897983083,0.017700430966950176,17.531858913221345,0.016807188209755113,16.83839538029703,0.016807188209755113,17.224206763211008,0.02920915898861569,16.394012410469596,0.02920915898861569,17.074712545712412,0.02920915898861569,16.3976356270398,0.02920915898861569,10.0,15.0,25.0,8.0,14.0,0.025,0.012,0.012,0.025,0.0,11.95047788129061,24.22562528404821,26.044246452382765,17.193965130133417,16.39094370244957,50.959205627441406,-1.2017099857330322,0.5482,0.0,100.81828312910879
J032729.88-005958.4,51.8745282,-0.9995572,2.8830205807860567,2.916328953487147,10.0,9.0,12.7829693020139,0.1327221666201544,12.036713091666044,0.13572090395390646,17.747559312034486,17.05537909206541,16.623576379945938,16.487834782871232,16.351544553926075,0.10649855662048184,0.04130484331516172,0.08722411463233734,0.11310744096175612,0.13487708225801776,17.916974886282198,0.017523091495694237,17.594179623462914,0.017523091495694237,17.12597509686719,0.019274283308613343,16.993230490388168,0.019274283308613343,16.886339580732162,0.021916540426125463,16.480421259400742,0.021916540426125463,16.665976995453207,0.030236517536794277,16.326114437306188,0.030236517536794277,16.584541460044047,0.019274283308613343,16.112913980159746,0.019274283308613343,10.0,11.0,19.0,11.0,11.0,0.025,0.012,0.012,0.025,0.0,9.170033292191382,4.457137737368915,12.213003301130529,6.861369744884866,17.302380787932066,51.85132217407226,-0.8578270077705383,1.8758,0.0,517.0209818680348
J034408.06+010333.7,56.033596200000005,1.0593871000000001,3.4745031949190865,3.7175140915781064,10.0,11.0,14.486632513871042,0.1076215383962967,13.261338417790826,0.08804874384543566,0.0,20.480376048313104,19.784309332478145,19.46764345030352,19.350848977444095,0.0,0.2246029341685618,0.13897762583078793,0.10295651113262272,0.18384327123504748,0.0,0.0,0.0,0.0,20.75854840609752,0.10847408552403363,20.083744747628128,0.10847408552403363,20.140390593175347,0.0947962120624634,19.69720459135786,0.0947962120624634,19.645838337510327,0.08422279771765112,19.254389616705204,0.08422279771765112,19.49428098324425,0.09035087682858227,18.848744626554552,0.09035087682858227,0.0,13.0,13.0,9.0,9.0,0.0,0.125,0.125,0.2,0.2,,3.578719401655728,2.417862640920433,1.681618542588925,2.7199698198013484,56.0590705871582,1.0121599435806274,2.1732,0.0,193.16731226283287
J030648.29-005859.5,46.7012167,-0.9832203000000002,3.2759781705995827,2.9781186414939738,11.0,9.0,14.358332077245965,0.07201594862887735,13.10533260872675,0.09181260171555032,20.530880274202982,19.544990761625737,19.110980751673395,18.78276755140668,18.69759485760086,0.3723671155081189,0.10903415771940872,0.2024356552668909,0.0959714423010808,0.13716163652820285,20.817465308061916,0.042541861202060584,19.4181507632708,0.042541861202060584,19.68546214078273,0.054014842327410884,19.29119859313867,0.054014842327410884,19.831280706219946,0.05501545359042742,18.89264196990662,0.05501545359042742,18.86654797069555,0.09172043512129932,18.580642937197076,0.09172043512129932,18.799928933832668,0.09172043512129932,18.374939808846953,0.09172043512129932,14.0,12.0,21.0,13.0,6.0,0.15,0.125,0.05,0.15,0.2,8.658285892220679,2.4014027994739,10.149136067158953,1.4417365524667412,1.7828181160564869,46.61917114257813,-1.0551580190658572,1.5619,0.0,392.78587363937635
J033854.24+005339.6,54.726028,0.8943449,3.708768547802755,3.945505525250234,10.0,11.0,14.228037653545822,0.09540483030496716,13.423390581374145,0.09789114875944102,19.592509625469297,19.163640127998907,18.895922146917886,18.40343646811759,18.529534895554487,0.16946243531270916,0.06255611896324882,0.06638436671772431,0.10847332524310137,0.2419364325783451,19.67881252010629,0.029870772082777258,19.080904355855647,0.029870772082777258,19.29904302146991,0.029870772082777258,19.106557943662214,0.029870772082777258,19.012169045359204,0.04377400460417144,18.80118708443944,0.04377400460417144,18.67069193868188,0.1060173537302947,18.33227024158734,0.1060173537302947,18.84740940297093,0.1060173537302947,17.905410587256476,0.1060173537302947,10.0,10.0,14.0,6.0,13.0,0.15,0.05,0.05,0.15,0.2,3.836804472225882,1.5912780667978048,2.6513292255625363,1.5957011939991463,3.7686176310839703,54.76934051513672,0.8846189975738525,1.6018,0.0,159.7895212890404
J032925.08+000204.0,52.3545373,0.0344584,2.585903300695354,3.3696315211214154,10.0,9.0,15.259642031847447,0.08151418383017561,14.092750692454214,0.8213685573011783,20.013861936478037,19.762169289273018,19.692704247426807,19.22116249844678,19.33124085558311,0.08704627458631299,0.10707665518753344,0.11064483686218747,0.1683190663560915,0.12799784010498366,20.15818423558665,0.16237994526751642,19.905745588924226,0.16237994526751642,19.911954058781525,0.15709839489503954,19.60916932505725,0.15709839489503954,19.87036529969549,0.16237994526751642,19.542309926998147,0.16237994526751642,19.38994802179282,0.1970835734188408,18.979787748269644,0.1970835734188408,19.530204852372254,0.15709839489503954,19.22087646299561,0.15709839489503954,5.0,4.0,8.0,3.0,3.0,0.15,0.125,0.125,0.2,0.2,0.9203379769695216,1.1877582158238076,1.2547226488313064,1.1956253749727943,1.0347815069368795,52.38500595092773,-0.030237000435590744,1.9997,0.0,257.4398594112916
